Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Irregular Conditions,1100 E. 57th St. ,7/23/10,7/23/10 11:57 PM,Leak in basement due to heavy rain / Engineer notified,Closed,W0835,-87.6001136,41.7922076
Fire Alarm,5835 S. Greenwood ,7/24/10,7/24/10 7:27 AM,Clogged drain on roof caused water leak that triggered alarm / CFD responded,Closed,W0837,-87.59909929999999,41.7884006
Irregular Conditions,901 E. 58th St. ,7/24/10,7/24/10 9:35 AM,Power surge reported at Mitchell ER and several buildings on campus,Closed,W0839,-87.6049245,41.78949770000001
Theft,Greenwood & 53rd,7/24/10,7/24/10 1:00 AM to 6:00 AM,Unknown person took unsecured bicycle from lobby of apartment building,Open,W0840,-87.5997436,41.7994069
Criminal Damage to Property,1125 E. 58th St.,7/24/10,7/20/10 to 7/24/10 3:00 PM to 2:55 PM,Unknown person scrawled graffiti on two bulletin boards and a table in the Quad area / Facilities notified,Open,W0841,-87.6012587,41.7895481
Lost Property,5815 S. Maryland ,7/24/10,7/24/10 11:00 AM to 7:05 PM,Patient reports a HP computer missing after she transferred rooms in the hospital,Closed,W0842,-87.6041439,41.78917240000001
Irregular Conditions,5730 S. Ellis ,7/24/10,7/23/10 to 7/24/10 10:00 PM to 8:00 AM,Doors to library were propped open with newspaper / UCPD conducted premise check,Closed,W0843,-87.60255599999999,41.790225
Irregular Conditions,6054 S. Drexel (UCPD) / 6031 S. Ellis ,7/24/10,7/24/10 9:45 PM,Power outage reported / ComEd restored power at 11:25 PM,Closed,W0845,-87.6297982,41.8781136
Irregular Conditions,1359 E. Hyde Park ,7/24/10,7/24/10 9:54 PM,Person freed from stuck elevator by CFD,Closed,W0844,-87.59283049999999,41.80237289999999
Theft,5730 S. Drexel ,7/25/10,7/24/10 to 7/25/10 11:30 PM to 12:55 AM,Unknown person took credit cards and ID from an unattended wallet in Comer ER waiting area,Open,W0846,-87.6038772,41.7903948
Sick Person,5630 S. University ,7/25/10,7/25/10 1:03 AM,Sick person transported to Provident Hospital by CFD EMS,Closed,W0847,-87.59843049999999,41.7927938
Found Property,1116 E. 59th St. ,7/25/10,7/25/10 7:47 AM,UCPD officer found briefcase on bench / Owner contacted,Closed,W0848,-87.5995794,41.7879593
Deceptive Practice,Woodlawn between 54th & 55th,7/25/10,7/22/10 10:00 PM,Complainant scammed via email / gave cnet ID and password to unknown party,Open,W0849,-87.59656144994922,41.79579150000009
Possession of Cannabis,5630 S. University ,7/25/10,7/25/10 10:12 AM,Subject arrested for possession of marijuana,Arrest,W0850,-87.59843049999999,41.7927938
Fire Alarm,6031 S. Ellis ,7/25/10,7/25/10 11:23 AM,Alarm malfunction / CFD responded,Closed,W0851,-87.6003487,41.78502539999999
Miscellaneous,Everett between 55th & 56th,7/25/10,7/25/10 1:19 PM,UCPD officers came to aid of woman calling for help / No crime committed,Closed,W0854,-87.58230039674423,41.79432705023459
Lost Property,5815 S. Maryland ,7/25/10,7/23/10 12:00 PM to 6:00 PM,Patient reports loss of eye glasses,Closed,W0852,-87.6041439,41.78917240000001
Theft,5815 S. Maryland ,7/25/10,7/25/10 12:00 PM to 1:00 PM,Unattended wallet taken from table in café,Open,W0853,-87.6041439,41.78917240000001
Theft from Person,55th & Kimbark,7/25/10,7/25/10 4:44 PM,Male exiting CTA bus grabbed cell phone from a passenger's hand and fled,Open,W0855,-87.59492139999999,41.7951219
Fire Alarm,5835 S. Greenwood ,7/26/10,7/26/10 8:28 AM,Condensation in line triggered fire alarm / CFD responded,Closed,W0857,-87.59909929999999,41.7884006
Harassment by Telephone,5848 S. University ,7/26/10,1/29/10 to7/22/10 periodic,Report of on-going harassing telephone calls from a known individual / Investigation being conducted by CPD,Closed,W0858,-87.598282,41.788401
Lost Property,924 E. 57th St. ,7/26/10,7/26/10 1:00 PM to 2:30 PM,Staff member reports losing her office keys,Closed,W0859,-87.6028077,41.79192099999999
Theft,969 E. 60th St. ,7/27/10,7/26/10 to 7/27/10 5:00 PM to 8:00 AM,Unknown person cut U lock and took bicycle from bike rack,Open,W0860,-87.6017409,41.7855814
Theft,947 E. 58th St. ,7/27/10,7/27/10 11:00 AM to 12:30 PM,Unattended MacBook laptop computer taken from unlocked room,Open,W0861,-87.6025521,41.7893783
Information,901 E. 58th St. ,7/27/10,7/27/10 7:20 PM,Disagreement between two staff members,Closed,W0862,-87.6049245,41.78949770000001
Theft,1100 E. 57th St. ,7/27/10,7/27/10 12:20 PM to 6:50 PM,Unknown person took secured bicycle from bike rack,Open,W0863,-87.6001136,41.7922076
Theft,1027 E. 57th St. ,7/27/10,7/27/10 4:00 PM to 11:30 PM,Unknown person took bicycle secured to bike rack,Open,W0864,-87.59992679999999,41.7913049
Criminal Damage to Property,53rd between Woodlawn & Kimbark,7/28/10,7/28/10 12:30 AM to 6:00 AM,Unknown person shattered glass entrance door of restaurant with an unknown object,Open,W0865,-87.5958308501027,41.79945130286288
Assault,Hyde Park Blvd. & 55th,7/28/10,7/26/10 9:50 PM,Unknown man followed woman and chased her into the lobby of her apartment building / No physical contact / No words exchanged,Open,W0867,-87.5839381,41.7952081
Theft,969 E. 60th St. ,7/28/10,7/27/10 to 7/28/10 5:00 PM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,W0866,-87.6017409,41.7855814
Theft,1020 E. 58th St. ,7/28/10,7/28/10 9:20 AM to 12:05 PM,Secured bicycle taken from bike rack,Open,W0868,-87.60020999999999,41.7900088
Theft,5815 S. Maryland ,7/28/10,7/28/10 2:15 PM,Wallet taken from woman's purse / Possibly in hallway or elevator,Open,W0869,-87.6041439,41.78917240000001
Open Door,5800 S. Stony Island ,7/28/10,7/28/10 9:14 PM,UCPD officer discovered an open door in the vacant building / Officers toured premises / No persons found,Closed,W0870,-87.58707419999999,41.7892887
Theft,University between 55th & 56th,7/28/10,7/28/10 7:10 PM to 10:25 PM,Unknown person took a bicycle that was secured to a metal post in front of a residential building,Open,W0871,-87.59811360023362,41.79413605000118
Fire Alarm,5807 S. Woodlawn ,7/29/10,7/29/10 4:33 AM,Apparent alarm malfunction / No smoke or fire / CFD responded,Closed,W0872,-87.5955699,41.7889213
Arson,Madison Park between Kenwood & Dorchester,7/29/10,7/28/10 to 7/29/10 6:00 PM to 7:00 AM,City garbage container and wooden fence damaged by fire,Open,W0873,-87.57044342254237,41.738655756247276
Theft,1101 E. 58th St. ,7/29/10,7/28/10 8:00 AM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0875,-87.5989219,41.7889123
Telephone Threat,860 E. 59th St. ,7/29/10,7/28/10 1:00 PM,Woman felt threatened after receiving an anonymous phone call,Open,W0876,-87.6040539,41.7878853
Irregular Conditions,4444 S. Evans ,7/29/10,7/29/10 9:45 AM to 11:10 AM,Power outage reported / Restore at 11:10 AM,Closed,W0877,-87.6086873,41.8140223
Assault,Drexel & 50th,7/29/10,7/29/10 11:53 AM,Woman walking on the street felt threatened by the actions of a stranger / Suspect gone upon arrival of police,Open,W0878,-87.6038064,41.8040967
Theft from Motor Vehicle,Cottage Grove & 59th,7/29/10,7/29/10 11:00 AM,Unknown person smashed window of van parked on the street / Took GPS device and two Motorola portable radios,Open,W0879,-87.60606159999999,41.7876879
Theft from Motor Vehicle,Ellis & 55th,7/29/10,7/29/10 8:45 AM to 3:00 PM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0880,-87.60132999999999,41.7950092
Criminal Damage to Property,800 E. 55th St ,7/29/10,7/29/10 3:20 PM,Disgruntled man threw a door open causing a hole in the wall,Open,W0882,-87.60537289999999,41.7956635
Theft,929 E. 57th St. ,7/29/10,7/29/10 9:20 AM to 4:15 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0881,-87.60270899999999,41.7908878
Theft,Kimbark between 57th & 58th,7/29/10,7/28/10 to 7/29/10 8:00 AM to 5:00 PM,Unknown person took bicycle that had been secured to a lamp post in the courtyard of residential building,Open,W0883,-87.5948215996778,41.790531800002256
Lost Property,5758 S. Maryland ,7/29/10,7/29/10 1:30 PM to 4:00 PM,Woman lost her wallet while in the cafeteria,Closed,W0884,-87.60554789999999,41.7901233
Theft from Motor Vehicle,Shore Dr. & 56th,7/29/10,7/29/10 6:50 PM,Unknown female was seen entering an unlocked car parked on the street taking $5.00 in quarters,Open,W0885,-87.580418,41.7935315
Well-Being Check,Kenwood between 56th & 57th,7/30/10,7/30/10 3:15 AM,UCPD checked well-being of an individual at the request of a friend / All was well,Closed,W0886,-87.59324324969292,41.792375150002016
Theft,55th between Cornell & Hyde Park,7/30/10,7/30/10 12:10 PM,Unknown male customer grabbed money from cash register as salesperson was making change / Suspect fled on foot,Open,W0887,-87.58467735012398,41.79519735236961
Theft,1115 E. 58th St. ,7/30/10,7/30/10 2:00 PM to 3:00 PM,Two bicycles chained together were taken from bike rack,Open,W0890,-87.5986774,41.789004
Theft,5812 S. Ellis ,7/30/10,7/30/10 9:00 AM to 3:45 PM,Unknown person took secured bicycle from bike rack,Open,W0889,-87.6023235,41.7891449
Theft,1126 E. 59th St. ,7/30/10,7/30/10 3:30 PM to 5:30 PM,Unknown person used a tool to cut bar on bike rack and took a secured bicycle,Open,W0891,-87.6000808,41.7883749
Burglary,57th between Harper & Lake Park,7/31/10,7/30/10 to 7/31/10 10:30 PM to 2:00 AM,"Unknown person(s) gained entry to residential apartment by undetermined method taking an Acer laptop computer, jewelry box and jewelry",Open,W0892,-87.58863250001147,41.791509750424794
Burglary,52nd between Greenwood & University,7/31/10,7/30/10 to 7/31/10 8:30 PM to 1:45 AM,"Entry gained to residential apartment via front window / 3 computers, $175 in coins, medical equipment taken by unknown person(s)",Open,W0893,-87.59899435004307,41.8008795526209
Criminal Damage to Property,5730 S. Ellis ,7/31/10,7/30/10 to 7/31/10 6:00 PM to 3:30 PM,Unknown person scrawled graffiti on exterior wall / Facilities notified,Open,W0894,-87.60255599999999,41.790225
Criminal Damage to Property,5630 S. University ,7/31/10,7/30/10 to 7/31/10 11:00 PM to 8:00 AM,Unknown person scrawled graffiti on exterior wall / Facilities notified,Open,W0895,-87.59843049999999,41.7927938
Theft from Motor Vehicle,Drexel between 52nd & 53rd,8/1/10,7/31/10 to 8/1/10 9:00 PM to 9: 15 AM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0896,-87.60393094987998,41.79991580000086
Fire Alarm,5530 S. Ellis ,8/1/10,8/1/10 10:42 AM,Alarm malfunction / CFD responded,Closed,W0897,-87.6016284,41.794474
Fire Alarm,5807 S. Woodlawn ,8/1/10,8/1/10 11:00 PM,Alarm malfunction / CFD responded,Closed,W0898,-87.5955699,41.7889213
Burglary,1427 E. 60th St. ,8/2/10,7/29/10 to 8/2/10 6:00 PM to 8:45 AM,Unknown person broke office window /  Dell laptop computer and docking station taken from desk top,Open,W0899,-87.5903039,41.7857416
Theft,Ellis between 60th & 61st,8/2/10,8/1/10 Unknown,CPD arrested a man wanted on a warrant and found him in possession of a stolen bicycle / Bike turned over to UCPD being held for owner,Closed,W0900,-87.60115904966807,41.785000600002384
Theft from Motor Vehicle,61st between Cottage Grove & Drexel,8/2/10,8/2/10 7:45 AM to 1:15 PM,Unknown person smashed window of vehicle parked in vacant lot and took a GPS device,Open,W0901,-87.60519765012637,41.78405115281848
Theft from Motor Vehicle,Blackstone & 51st,8/2/10,8/1/10 to 8/2/10 4:00 PM to 12:30 PM,Unknown person smashed window of car in parking lot and took a GPS device,Open,W0903,-95.9926729,41.2623067
Found Property,Harper between 58th & 59th,8/2/10,8/2/10 1:56 PM,Bag containing electronic equipment found on the street and turned over to UCPD / Property being held by CPD,Closed,W0902,-87.60943550589629,41.83299469562794
Theft of Lost or Mislaid Property,1100 E. 57th St. ,8/2/10,8/2/10 5:30 PM,UCPD officers observed two males attempting to take bicycle from bike rack / Had stolen property in their possession / Arrest by UCPD,Arrest,W0904,-87.6001136,41.7922076
Domestic Battery,Cottage Grove between 63rd & 64th,8/2/10,8/2/10 6:40 PM,Male subject punched female in the course of an argument on the street / Arrest by UCPD,Arrest,W0905,-87.60590789986705,41.77948885000039
Theft,5815 S. Maryland ,8/3/10,7/29/10 to 8/2/10 2:00 PM to 1:00 PM,"2 rings, necklace, and $10 cash taken from purse in patient's room",Open,W0906,-87.6041439,41.78917240000001
Harassment by Electronic Means,50th between Cornell & Shore Dr.,8/3/10,8/3/10 12:45 AM,Complainant reported a series of harassing email messages and phone calls from a former girlfriend,Open,W0907,-95.1605931212505,37.8938437532012
Theft,1427 E. 60th St. ,8/3/10,8/3/10 1:30 PM to 5:00 PM,Unknown person took secured bicycle from bike rack,Open,W0908,-87.5903039,41.7857416
Suspicious Package,1526 E. 55th St. ,8/3/10,8/3/10 10:59 PM,Suspicious suitcase found outside door of a store / CPD Bomb and Arson notified / Suitcase contained garbage,Closed,W0909,-87.5886245,41.7961335
Theft,5841 S. Maryland ,8/4/10,8/4/10 2:00 PM to 2:05 PM,"Unknown person took an unattended fanny pack from patient's room / contained a wallet, cell phone, check book / Unauthorized use of a credit card subsequently reported",Open,W0911,-87.6045656,41.7883128
Criminal Damage to Property,5825 S. Dorchester ,8/4/10,8/4/10 5:00 PM to 5:50 PM,Unknown person damaged bottom panel of overhead garage door,Open,W0913,-87.5911081,41.7888322
Lost Property,5800 S. Stony Island ,8/4/10,7/18/10 12:40 PM,Radiation sensor lost while working at the site,Closed,W0912,-87.58707419999999,41.7892887
Criminal Damage to Property,6016 S. Ingleside ,8/5/10,8/4/10 to 8/5/10 5:00  PM to 8:30 AM,Unknown person pushed on window grate causing damage to a file cabinet that tipped over,Open,W0914,-87.6029258,41.7857267
Miscellaneous,5659 S. Ellis ,8/6/10,8/3/10 10:00 AM,Two construction workers involved in heated argument / Worker escorted from site by UCPD / Peace restored,Closed,W0916,-87.6012964,41.792015
Theft from Motor Vehicle,Kimbark between 53rd & 54th,8/6/10,8/5/10 to 8/6/10 10:00 PM to 8:30 AM,Unknown person smashed window of car parked on the street / Took GPS device and sunglasses,Open,W0915,-87.59500704987093,41.79872420000055
Theft,5815 S. Maryland ,8/6/10,7/31/10 3:00 AM to 2:00 PM,Unknown person took HP laptop computer from patient's room,Open,W0917,-87.6041439,41.78917240000001
Injured Person,929 E. 57th St. ,8/6/10,8/6/10 1:10 PM,Chemical splashed in man's eyes during the course of an experiment / Transported to hospital by CFD EMS,Closed,W0918,-87.60270899999999,41.7908878
Theft,935 E. 56th St. ,8/6/10,8/6/10 2:00 PM to 2:19 PM,Unknown person took unattended Mac laptop computer from unlocked office,Open,W0919,-87.6022332,41.7931688
Theft,940 E. 57th St. ,8/6/10,8/2/10 4:00 PM,Unknown person took wireless device from office,Open,W0920,-87.6026488,41.79144710000001
Irregular Conditions,5706 S. University ,8/6/10,8/6/10 10:53 PM,Officer found unlocked door during a premise check / Engineer notified,Closed,W0921,-87.5982633,41.7909142
Criminal Damage to Vehicle,48th between Woodlawn & Kimbark,8/7/10,8/6/10 to 8/7/10 7:30 PM to 6:30 AM,Unknown person slashed three tires on a car parked on the street,Open,W0922,-87.5959971001048,41.807813952871776
Theft from Motor Vehicle,University & 59th,8/7/10,8/5/10 to 8/7/10 11:00 PM to 12:40 PM,Unknown person smashed window of car parked on the street and took a GPS device,Open,W0923,-87.5980148,41.787767
Theft from Motor Vehicle,60th between Greenwood & University,8/7/10,8/7/10 1:40 PM to 2:00 PM,Unknown person removed lock from the rear door of a workman's van parked on the street and took construction tools,Open,W0924,-87.61385773118054,41.83202790035631
Disturbance,56th between Woodlawn & Kimbark,8/8/10,8/8/10 1:41 AM,Residents complained about a loud party in a residence / Peace restored,Closed,W0925,-87.5956874001191,41.79326720280008
Disturbance,Kimbark between 57th & 58th,8/8/10,8/8/10 5:09 AM,Residents complained of loud noise coming from a group of people in a limo parked on the street / Peace restored,Closed,W0926,-87.5948215996778,41.790531800002256
Theft from Motor Vehicle,Dorchester & 57th,8/8/10,8/8/10 7:15 PM to 8:45 PM,Unknown person smashed window of car parked on the street and took GPS device,Open,W0927,-87.5916036,41.791483
Theft,5530 S. Ellis ,8/9/10,8/6/10 6:00 PM to 6:30 PM,Man left student ID card unattended while exercising / Unknown person took ID card,Open,W0928,-87.6016284,41.794474
Deceptive Practice,52nd between Kimbark  & Kenwood,8/9/10,8/7/10 6:30 AM,Unknown person attempted to scam money from complainant via email,Open,W0929,-87.59424720014768,41.80093665286112
Disturbance,860 E. 59th St. ,8/9/10,8/9/10 7:30 AM,Verbal altercation between two staff members / Peace restored,Closed,W0930,-87.6040539,41.7878853
Damage to Property,6054 S. Drexel ,8/9/10,8/9/10 7:00 AM,Damage found on University owned vehicle parked in parking structure,Closed,W0934,-87.604867,41.78464
Attempt Theft,6058 S. Ellis ,8/9/10,8/9/10 7:38 PM,UCPD officer arrested male subject in the process of cutting copper wire attached to gate box,Arrest,W0931,-87.6011666,41.7846865
Theft,Cottage Grove & 58th,8/9/10,8/9/10 6:00 AM to 8:30 PM,Unknown person smashed rear passenger's side window of car parked on the street and took a GPS device,Open,W0932,-87.6061134,41.7895033
Irregular Conditions,6054 S. Drexel ,8/9/10,8/9/10 11:34 PM,Handicap door in lobby of building could not be properly secured / Facilities notified,Closed,W0933,-87.604867,41.78464
Warrant Arrest,Stony Island & 63rd,8/10/10,8/10/10 4:30 AM,UCPD officers arrested a male subject wanted on a warrant,Arrest,W0935,-87.5864564,41.7806003
Aggravated Battery,Cottage Grove & 62nd,8/10/10,8/10/10 9:15 AM,Male subject shot in the left leg after an argument with another male subject on the street / Transported to hospital by CFD EMS,Open,W0936,-87.6059671,41.7822232
Criminal Damage to Vehicle,Woodlawn between 49th & 50th,8/10/10,8/7/10 to 8/8/10 10:00 PM to 5:00 AM,Unknown person slashed four tires on a car parked on the street,Open,W0937,-87.59675919976642,41.80508165000116
Missing Person,970 E. 58th St. ,8/10/10,8/10/10 10:00 AM,"Family reported man, suffering from illness, wandered off and could not be located / Man later found and escorted home by UCPD",Closed,W0938,-87.6014637,41.7897474
Theft,5841 S. Cottage Grove ,8/10/10,8/10/10 7:00 AM to 7:45 AM,Unknown person took DVD disk from office,Open,W0940,-87.60607569999999,41.7889113
Theft from Motor Vehicle,Kenwood between 57th & 58th,8/10/10,8/9/10 to 8/10/10 8:00 PM to 11:45 AM,Unknown person smashed the driver's side window of a car parked on the street and took a GPS device,Open,W0939,-87.59319894967707,41.790551750002244
Found Property,Langley between 61st & 62nd,8/10/10,8/10/10 3:25 PM,UCPD officers chased an unknown suspect who abandoned a Canon digital camera and an Olympus voice recorder while fleeing,Closed,W0941,-87.60845704958479,41.78309060000374
Theft from Motor Vehicle,Woodlawn between 58th & 59th,8/10/10,8/10/10 7:25 AM to 4:30 PM,Unknown person smashed passenger's side window of car parked on the street and took a gym bag,Open,W0942,-87.59639489972409,41.78870010000166
Possession of Lost or Stolen Property,Harper between 54th & 55th,8/10/10,8/10/10 11:35 PM,UCPD officer arrested man for possession of a stolen bicycle / Owner of bike not known at the time,Arrest,W0943,-87.58874639281942,41.79659625043024
Injured Person,5841 S. Cottage Grove ,8/11/10,8/11/10 5:00 AM,Deliveryman fell from loading dock and fractured his left ankle / Transported to ER by CFD EMS,Closed,W0944,-87.60607569999999,41.7889113
Theft from Motor Vehicle,59th & Payne Dr.,8/11/10,8/10/10 8:00 AM to 5:30 PM,Unknown person smashed window of vehicle parked on the street and took a GPS device,Open,W0945,-87.6074409,41.7948406
Injured Person,5815 S. Maryland ,8/11/10,8/11/10 1:10 PM,Woman injured her finger when it became caught in the metal support of a chair / Treated at ER,Closed,W0946,-87.6041439,41.78917240000001
Theft,1101 E. 58th St. ,8/11/10,7/30/10 to 8/3/10 5:00 PM to 10:00 AM,Unknown person removed a MacBook Pro computer from under a podium in an unsecured lecture hall,Open,W0947,-87.5989219,41.7889123
Battery,57th between Greenwood & University,8/11/10,8/11/10 2:15 PM,A male and two females involved in  an argument that resulted in physical contact by all involved / All three refused to sign complaints / Peace restored,Closed,W0948,-87.61392525559388,41.834761241158354
Injured Person,5815 S. Maryland ,8/11/10,8/6/10 Unknown,Woman said she tripped over a chair in the ER and fell on her back / Delayed report,Closed,W0949,-87.6041439,41.78917240000001
Assault,970 E. 58th St. ,8/11/10,8/11/10 5:20 PM,Employee reports a co-worker verbally threatened her causing her to fear for her safety,Open,W0950,-87.6014637,41.7897474
